customer_id,full_name,gender,date_of_birth,city,state,occupation_type,annual_income,credit_score,existing_emi_monthly,bank_relationship_years,signup_date
19,Rajata Pandya,Male,1963-01-13,Jaipur,Rajasthan,Salaried,534000.0,770,4100.0,0.9,2017-08-11
20,Yashica Deol,Male,1997-08-19,Raipur,Chhattisgarh,Self-Employed,413000.0,671,0.0,11.5,2009-12-21
21,Yug Padmanabhan,Male,1982-09-19,Chandigarh,Chandigarh,Salaried,354000.0,656,0.0,4.7,2012-08-18
22,Hemani Khurana,Female,1979-02-19,Hyderabad,Telangana,Self-Employed,834000.0,732,0.0,15.9,2009-02-17
23,Tristan Shukla,Female,1963-03-08,Kochi,Kerala,Self-Employed,180000.0,730,0.0,3.8,2012-03-23
24,Henry Pandey,Male,1984-08-16,Pune,Maharashtra,Salaried,411000.0,635,4600.0,15.6,2009-10-29
25,Kashvi Tara,Female,1990-04-07,Jaipur,Rajasthan,Salaried,778000.0,788,2700.0,14.5,2023-05-14
26,Chaitanya Dar,Male,1966-02-08,Hyderabad,Telangana,Salaried,425000.0,731,5800.0,7.9,2021-08-14
27,Chandani Handa,Male,1999-06-21,Kochi,Kerala,Salaried,394000.0,682,0.0,14.6,2021-12-26
28,Ridhi Ghosh,Female,1989-07-21,Jaipur,Rajasthan,Business Owner,336000.0,586,4700.0,15.1,2015-07-11
29,Arjun Agarwal,Male,1997-02-19,Kochi,Kerala,Retired,510000.0,693,6400.0,4.2,2022-03-08
30,Ryan Varty,Male,1970-06-24,Chandigarh,Chandigarh,Salaried,575000.0,638,4900.0,7.3,2024-08-22
31,Darsh Hari,Female,1966-09-14,Ahmedabad,Gujarat,Business Owner,2141000.0,696,19000.0,13.3,2023-01-21
32,Faqid Datta,Male,1997-07-27,Surat,Gujarat,Business Owner,180000.0,778,1500.0,17.5,2008-12-26
33,Adweta Devi,Male,1993-07-18,Nagpur,Maharashtra,Self-Employed,370000.0,708,0.0,1.4,2021-02-27
34,Madhavi Basak,Female,1961-09-21,Bhopal,Madhya Pradesh,Salaried,443000.0,733,7400.0,1.9,2021-08-07
35,Finn Biswas,Male,1987-01-18,Lucknow,Uttar Pradesh,Salaried,387000.0,623,0.0,2.6,2026-01-10
36,Fitan Kothari,Male,2003-07-23,Kochi,Kerala,Business Owner,513000.0,786,0.0,1.9,2016-02-20
37,Pushti Sabharwal,Female,1999-07-11,Raipur,Chhattisgarh,Self-Employed,539000.0,649,0.0,4.1,2010-08-03
38,Avni Sankaran,Male,1968-05-23,Kochi,Kerala,Self-Employed,602000.0,709,6900.0,11.8,2008-09-09
39,Henry Som,Female,1970-02-13,Lucknow,Uttar Pradesh,Salaried,356000.0,668,1200.0,10.4,2015-07-25
40,Yadavi Shetty,Male,1960-07-13,Nagpur,Maharashtra,Salaried,253000.0,728,2500.0,16.8,2015-07-12
41,Nathaniel Agate,Male,1999-01-28,Kochi,Kerala,Business Owner,732000.0,677,600.0,15.1,2009-01-02
42,Andrew Master,Female,1994-12-04,Bhopal,Madhya Pradesh,Self-Employed,344000.0,667,0.0,5.7,2011-08-04
43,Wakeeta Mitra,Female,1988-07-11,Bengaluru,Karnataka,Self-Employed,402000.0,738,8300.0,13.5,2018-01-24
44,Ekapad Chander,Female,1980-09-24,Patna,Bihar,Salaried,529000.0,724,0.0,4.1,2022-04-25
45,Dipta Sood,Male,1998-04-15,Kolkata,West Bengal,Self-Employed,423000.0,517,0.0,16.4,2009-09-01
46,Baljiwan Mohan,Male,1991-09-17,Pune,Maharashtra,Salaried,483000.0,705,0.0,6.3,2020-04-27
47,Mason Shenoy,Male,1969-10-26,Kolkata,West Bengal,Salaried,1481000.0,681,10800.0,12.8,2009-02-03
48,Qadim Dayal,Female,2001-08-08,Jaipur,Rajasthan,Self-Employed,433000.0,588,6300.0,16.3,2020-12-30
49,Simon Aurora,Male,1995-11-12,Guwahati,Assam,Salaried,686000.0,775,0.0,2.7,2009-06-08
50,Abeer Krishnan,Male,2000-05-18,Chandigarh,Chandigarh,Salaried,325000.0,833,0.0,4.9,2017-03-21
51,Gagan Goswami,Male,1961-02-21,Nagpur,Maharashtra,Salaried,260000.0,755,0.0,11.4,2011-11-29
52,Gunbir Batra,Female,1987-11-04,Kochi,Kerala,Salaried,1310000.0,605,0.0,14.7,2021-08-03
53,Mitali Mukhopadhyay,Female,1972-01-12,Delhi,Delhi,Business Owner,491000.0,709,1800.0,14.2,2014-09-16
54,Vinaya Sanghvi,Female,1973-08-18,Kochi,Kerala,Salaried,243000.0,706,0.0,2.4,2014-07-30
55,Jack Sinha,Female,1970-12-03,Surat,Gujarat,Business Owner,1016000.0,612,11400.0,8.6,2011-01-05
56,Vrinda D’Alia,Female,1965-05-13,Kochi,Kerala,Salaried,344000.0,669,4700.0,7.5,2021-01-23
57,Garima Nagarajan,Male,1973-02-11,Lucknow,Uttar Pradesh,Salaried,281000.0,721,0.0,11.7,2018-10-18
58,Harish Chauhan,Male,1995-08-24,Nagpur,Maharashtra,Salaried,880000.0,547,6400.0,15.8,2023-10-19
59,Rachita Grewal,Male,2000-06-30,Raipur,Chhattisgarh,Salaried,550000.0,774,0.0,2.4,2018-04-09
60,Zansi Shetty,Female,1961-08-17,Bhubaneswar,Odisha,Salaried,280000.0,574,0.0,2.5,2021-04-14
61,Umang Gera,Female,1996-09-02,Hyderabad,Telangana,Business Owner,1051000.0,728,7800.0,0.5,2011-08-05
62,Indali Soni,Female,1983-04-04,Nagpur,Maharashtra,Business Owner,930000.0,635,0.0,13.4,2011-08-09
63,Parth Sandhu,Female,1970-11-23,Pune,Maharashtra,Salaried,543000.0,727,1500.0,6.3,2017-07-14
64,Vincent Sathe,Male,1966-04-01,Jaipur,Rajasthan,Salaried,1132000.0,745,0.0,5.9,2015-03-23
65,Ijaya Banik,Male,1967-04-19,Mumbai,Maharashtra,Salaried,286000.0,762,0.0,3.9,2019-02-13
66,Chatura Issac,Female,1972-07-14,Mumbai,Maharashtra,Self-Employed,247000.0,774,0.0,11.3,2024-03-19
67,Abha Khosla,Male,1984-11-04,Nagpur,Maharashtra,Salaried,824000.0,622,0.0,4.2,2011-01-30
68,Megha Rau,Male,1976-08-04,Bhubaneswar,Odisha,Business Owner,1432000.0,739,0.0,4.2,2021-06-04
69,Utkarsh Tara,Male,1997-07-29,Chennai,Tamil Nadu,Salaried,708000.0,880,0.0,12.1,2014-08-08
70,Yagnesh Basu,Female,1983-10-28,Lucknow,Uttar Pradesh,Self-Employed,382000.0,628,0.0,12.3,2013-08-08
71,Kabir Thakkar,Male,1997-05-03,Hyderabad,Telangana,Salaried,328000.0,622,2000.0,17.7,2011-08-25
72,Harita Pant,Female,1967-08-05,Lucknow,Uttar Pradesh,Self-Employed,543000.0,726,0.0,10.6,2010-06-27
73,Baljiwan Vig,Male,1978-03-12,Mumbai,Maharashtra,Self-Employed,727000.0,701,0.0,12.0,2020-11-29
74,Yauvani Chaudhary,Male,1988-06-06,Jaipur,Rajasthan,Salaried,940000.0,674,0.0,14.6,2015-09-06
75,Nihal Khatri,Male,1998-10-24,Ahmedabad,Gujarat,Self-Employed,2263000.0,759,12500.0,15.3,2020-12-13
76,Bhanumati Atwal,Female,1991-07-04,Ahmedabad,Gujarat,Salaried,302000.0,745,0.0,10.9,2015-07-24
77,Shravya Wali,Female,1991-09-28,Ahmedabad,Gujarat,Retired,271000.0,767,0.0,9.3,2018-02-25
78,Samuel Sura,Male,1990-02-13,Nagpur,Maharashtra,Business Owner,1016000.0,693,0.0,15.6,2017-11-24
79,Chavvi Ganguly,Male,1995-09-24,Kochi,Kerala,Salaried,334000.0,556,0.0,14.1,2010-05-13
80,Max Gill,Male,1985-04-01,Kochi,Kerala,Salaried,400000.0,781,3300.0,5.5,2009-08-03
81,Warinder Brahmbhatt,Male,1991-02-26,Bhubaneswar,Odisha,Salaried,279000.0,716,0.0,3.1,2023-07-19
82,Lakshmi Rana,Male,1996-04-07,Bengaluru,Karnataka,Salaried,582000.0,616,0.0,7.6,2008-11-06
83,Chandran Bakshi,Female,1962-10-27,Pune,Maharashtra,Salaried,524000.0,705,100.0,7.3,2009-06-20
84,Xiti Bal,Female,1997-11-22,Delhi,Delhi,Business Owner,937000.0,753,0.0,7.2,2012-06-03
85,Krish Dhillon,Male,1989-03-28,Guwahati,Assam,Salaried,796000.0,800,1200.0,16.1,2023-06-11
86,Zaid Solanki,Male,1981-08-15,Nagpur,Maharashtra,Business Owner,378000.0,748,0.0,11.1,2018-09-13
87,Devansh Majumdar,Male,1965-02-19,Kochi,Kerala,Salaried,616000.0,748,15700.0,7.3,2015-10-28
88,Krish Swamy,Female,1967-02-05,Mumbai,Maharashtra,Self-Employed,623000.0,807,0.0,16.6,2018-09-23
89,Abdul Khosla,Male,1989-06-24,Nagpur,Maharashtra,Retired,434000.0,761,1900.0,10.4,2026-05-23
90,Omisha Dar,Male,2001-02-26,Pune,Maharashtra,Salaried,688000.0,626,3900.0,1.4,2020-09-28
91,Dalaja Mallick,Male,1964-02-22,Hyderabad,Telangana,Salaried,393000.0,707,0.0,15.9,2019-07-11
92,Avni Wadhwa,Male,1999-03-19,Pune,Maharashtra,Salaried,1386000.0,522,11300.0,0.8,2025-02-25
93,Lakshit Chakrabarti,Male,1961-01-05,Guwahati,Assam,Salaried,237000.0,655,4800.0,17.3,2023-08-09
94,Netra Tak,Male,1983-01-03,Delhi,Delhi,Salaried,503000.0,597,0.0,0.9,2022-09-11
95,Manbir Ramanathan,Male,1968-10-19,Bengaluru,Karnataka,Salaried,354000.0,764,0.0,17.1,2013-12-06
96,Krisha Arora,Male,1986-08-09,Kolkata,West Bengal,Salaried,352000.0,720,0.0,11.1,2017-01-23
97,Vedant Kalla,Male,1961-05-01,Jaipur,Rajasthan,Self-Employed,455000.0,638,0.0,5.9,2016-03-06
98,Luke Aggarwal,Female,2004-01-27,Patna,Bihar,Self-Employed,1601000.0,760,0.0,7.1,2017-12-17
99,Kritika Varma,Female,1991-08-15,Hyderabad,Telangana,Retired,180000.0,717,0.0,11.5,2018-03-11
100,Chanchal Srinivas,Female,1999-05-30,Patna,Bihar,Salaried,718000.0,624,0.0,2.6,2017-10-14
101,Dayamai Balasubramanian,Male,1984-08-07,Chandigarh,Chandigarh,Retired,283000.0,747,4500.0,7.0,2015-11-24
102,Raghav Mangal,Male,1967-04-05,Bhubaneswar,Odisha,Salaried,285000.0,668,500.0,9.1,2012-12-18
103,Saanvi Murty,Female,1961-06-17,Guwahati,Assam,Salaried,364000.0,867,0.0,12.9,2024-08-11
104,Siya Gaba,Male,1992-11-23,Bhopal,Madhya Pradesh,Salaried,587000.0,580,0.0,14.6,2014-10-08
105,Hardik Kaur,Female,1973-03-09,Surat,Gujarat,Salaried,739000.0,900,0.0,10.9,2022-05-23
106,Zansi Misra,Male,1982-05-14,Kochi,Kerala,Salaried,778000.0,555,0.0,15.9,2023-08-22
107,Gunbir Kata,Female,1962-10-29,Ahmedabad,Gujarat,Salaried,393000.0,820,0.0,6.4,2013-08-07
108,Raghav Ganguly,Male,1986-04-04,Bhubaneswar,Odisha,Salaried,356000.0,742,4700.0,14.5,2014-05-11
109,Abdul Vasa,Male,1967-04-04,Kolkata,West Bengal,Salaried,322000.0,694,0.0,3.8,2013-05-30
110,Bhanumati Tank,Female,1993-01-12,Pune,Maharashtra,Salaried,180000.0,602,0.0,12.6,2009-04-16
111,Jonathan Ganesh,Male,1986-01-20,Surat,Gujarat,Self-Employed,380000.0,581,0.0,5.6,2022-09-17
112,Gaurav Saraf,Female,1982-10-25,Kochi,Kerala,Salaried,1019000.0,564,5500.0,8.8,2011-01-09
113,Aarna Ganesh,Male,1962-03-01,Pune,Maharashtra,Salaried,519000.0,836,0.0,6.7,2015-03-19
114,Zehaan Madan,Male,1972-12-30,Patna,Bihar,Salaried,256000.0,810,1700.0,3.9,2022-11-30
115,Nathaniel Dhaliwal,Female,1989-09-20,Nagpur,Maharashtra,Salaried,314000.0,743,0.0,3.9,2016-02-25
116,Joshua Borra,Female,1978-05-14,Kolkata,West Bengal,Self-Employed,499000.0,642,0.0,9.7,2019-03-05
117,Chavvi Sachdeva,Male,2001-04-15,Jaipur,Rajasthan,Salaried,505000.0,663,0.0,6.8,2016-11-23
118,Neha Pillay,Male,1993-10-28,Nagpur,Maharashtra,Salaried,515000.0,762,8200.0,1.5,2011-01-22
119,Yatan Kata,Female,1985-04-28,Bengaluru,Karnataka,Salaried,280000.0,900,0.0,2.3,2009-07-12
120,Ishani Mandal,Male,1976-11-18,Patna,Bihar,Salaried,203000.0,685,0.0,3.7,2018-10-09
121,Shivani Varughese,Male,1984-03-15,Surat,Gujarat,Salaried,637000.0,726,2400.0,9.1,2026-03-18
122,Aahana Jani,Female,2003-11-10,Chandigarh,Chandigarh,Self-Employed,390000.0,653,800.0,17.1,2021-02-23
123,Darika Dave,Female,1986-04-16,Kochi,Kerala,Salaried,717000.0,733,2700.0,11.1,2011-05-12
124,Ekansh Issac,Male,1986-03-19,Kochi,Kerala,Business Owner,1369000.0,729,0.0,16.4,2012-01-17
125,Divya Puri,Male,1989-10-26,Raipur,Chhattisgarh,Salaried,705000.0,759,0.0,11.4,2010-02-19
126,Manthan Chauhan,Male,1977-09-11,Jaipur,Rajasthan,Self-Employed,269000.0,646,0.0,4.2,2024-02-01
127,Frederick Sampath,Male,1968-04-24,Chennai,Tamil Nadu,Self-Employed,693000.0,757,4600.0,3.2,2018-11-29
128,Vedant Divan,Male,2004-01-26,Surat,Gujarat,Salaried,515000.0,821,1700.0,12.9,2019-09-22
129,Manthan Karnik,Male,1966-10-24,Ahmedabad,Gujarat,Self-Employed,614000.0,680,3400.0,5.1,2014-01-21
130,Madhavi Yogi,Female,1982-03-09,Raipur,Chhattisgarh,Business Owner,1574000.0,778,0.0,7.9,2023-05-29
131,Krishna Bhatti,Female,1984-10-19,Bengaluru,Karnataka,Salaried,705000.0,824,0.0,1.7,2009-09-14
132,Ekanta Chaudry,Female,1972-08-18,Patna,Bihar,Salaried,494000.0,764,0.0,16.6,2013-01-18
133,Hritik Shere,Female,1966-01-13,Ahmedabad,Gujarat,Salaried,425000.0,730,0.0,17.0,2010-03-26
134,Yachana Chand,Female,1974-12-06,Surat,Gujarat,Salaried,461000.0,709,0.0,16.1,2015-01-10
135,Banjeet Chander,Male,1966-03-07,Kolkata,West Bengal,Self-Employed,632000.0,622,10500.0,12.3,2021-08-20
136,Janani Kulkarni,Female,1982-10-05,Raipur,Chhattisgarh,Business Owner,361000.0,584,0.0,12.3,2024-09-16
137,Vansha Lanka,Male,1976-04-25,Chandigarh,Chandigarh,Salaried,823000.0,775,0.0,9.6,2016-06-24
138,Omaja Parsa,Female,1984-07-03,Kolkata,West Bengal,Salaried,647000.0,759,4300.0,11.6,2011-10-06
139,Saumya Kota,Male,1995-11-08,Lucknow,Uttar Pradesh,Salaried,327000.0,707,0.0,6.1,2021-03-30
140,Reyansh Borde,Female,1982-12-29,Chennai,Tamil Nadu,Salaried,361000.0,792,2000.0,5.5,2021-08-25
141,Hritik Prabhakar,Male,1979-07-29,Nagpur,Maharashtra,Retired,213000.0,669,2700.0,4.9,2013-05-17
142,Ishanvi Rao,Female,1989-12-14,Mumbai,Maharashtra,Salaried,379000.0,621,0.0,0.5,2012-01-16
143,Zarna Sur,Male,1987-09-19,Ahmedabad,Gujarat,Business Owner,865000.0,723,0.0,6.8,2015-09-06
144,Jagrati Agarwal,Male,1985-06-28,Ahmedabad,Gujarat,Business Owner,512000.0,655,0.0,10.1,2013-05-20
145,Vrishti Korpal,Male,1996-06-01,Ahmedabad,Gujarat,Business Owner,858000.0,562,0.0,1.0,2019-03-05
146,Frederick Kibe,Male,1964-05-10,Kochi,Kerala,Self-Employed,190000.0,631,0.0,0.7,2010-07-05
147,Harshil Vasa,Female,1975-06-17,Kochi,Kerala,Salaried,444000.0,729,0.0,8.6,2012-01-06
148,Anjali Madan,Female,1988-02-09,Bengaluru,Karnataka,Salaried,950000.0,781,0.0,9.4,2017-06-09
149,Sanaya Dubey,Male,1986-02-05,Surat,Gujarat,Salaried,455000.0,698,0.0,10.1,2021-05-22
150,Aishani Mand,Male,2001-12-04,Bhopal,Madhya Pradesh,Salaried,311000.0,698,0.0,1.7,2014-01-31
151,Rachit Hans,Female,1984-04-13,Pune,Maharashtra,Business Owner,596000.0,730,1500.0,5.2,2022-11-18
152,Chatura Khare,Male,2003-11-01,Patna,Bihar,Salaried,618000.0,845,0.0,12.0,2025-05-29
153,Onveer Ramaswamy,Male,1989-04-29,Ahmedabad,Gujarat,Business Owner,676000.0,738,0.0,10.2,2009-12-22
154,Aashi Prashad,Female,1976-05-16,Ahmedabad,Gujarat,Salaried,667000.0,661,0.0,17.7,2010-06-18
155,Oliver Dass,Female,1993-11-27,Mumbai,Maharashtra,Salaried,541000.0,701,3900.0,1.3,2019-12-08
156,Widisha Ghose,Female,1965-01-03,Mumbai,Maharashtra,Self-Employed,278000.0,702,3300.0,14.9,2020-12-01
157,Aradhana Bawa,Male,1966-12-09,Surat,Gujarat,Retired,530000.0,791,0.0,17.4,2019-09-26
158,Gautami Dugal,Male,1995-01-03,Jaipur,Rajasthan,Salaried,1288000.0,627,0.0,9.7,2016-06-29
159,Teerth Vala,Female,2001-04-10,Bengaluru,Karnataka,Salaried,724000.0,717,0.0,3.2,2017-02-11
160,Maanas Kashyap,Female,1994-05-23,Kolkata,West Bengal,Salaried,1310000.0,623,6200.0,11.9,2022-06-26
161,Waida Singhal,Male,1999-08-03,Nagpur,Maharashtra,Business Owner,479000.0,498,1600.0,13.1,2009-07-19
162,Yauvani Khurana,Male,1970-08-29,Nagpur,Maharashtra,Business Owner,429000.0,714,3900.0,11.5,2023-09-07
163,Jack Pathak,Male,1992-06-04,Kochi,Kerala,Business Owner,2712000.0,790,0.0,2.2,2013-06-12
164,Aarav Suresh,Female,2000-06-19,Jaipur,Rajasthan,Self-Employed,313000.0,614,0.0,16.3,2022-11-16
165,Ishanvi Sha,Male,1999-05-02,Chandigarh,Chandigarh,Salaried,610000.0,574,9600.0,3.0,2022-05-15
166,Banjeet Mand,Male,1985-08-16,Raipur,Chhattisgarh,Salaried,831000.0,655,0.0,3.6,2020-03-16
167,Mahika Krishnamurthy,Male,1963-02-02,Mumbai,Maharashtra,Self-Employed,180000.0,828,0.0,16.5,2008-11-20
168,Oviya Loyal,Male,1996-02-10,Ahmedabad,Gujarat,Salaried,464000.0,817,0.0,12.2,2018-10-20
169,Vrinda Tailor,Female,1968-12-15,Ahmedabad,Gujarat,Business Owner,239000.0,643,0.0,3.3,2016-02-16
170,Ekavir Mander,Male,1969-07-19,Guwahati,Assam,Salaried,490000.0,704,0.0,17.3,2012-06-16
171,Lavanya Parekh,Male,1991-12-21,Ahmedabad,Gujarat,Self-Employed,338000.0,759,0.0,7.2,2022-05-08
172,Anika Mangat,Male,1972-01-07,Kochi,Kerala,Salaried,302000.0,686,2400.0,5.7,2009-11-25
173,Vedant Yadav,Female,1982-05-22,Delhi,Delhi,Self-Employed,602000.0,767,0.0,5.3,2009-09-20
174,Faqid Raja,Female,1977-08-29,Chandigarh,Chandigarh,Self-Employed,225000.0,554,0.0,15.1,2025-10-14
175,Udyati Zachariah,Male,1970-03-24,Kochi,Kerala,Business Owner,1784000.0,731,0.0,11.6,2024-05-24
176,Utkarsh Sinha,Female,1996-10-18,Bengaluru,Karnataka,Self-Employed,282000.0,847,0.0,11.8,2024-12-10
177,Warinder Prakash,Male,1969-12-14,Ahmedabad,Gujarat,Salaried,515000.0,812,3600.0,2.8,2019-03-10
178,Leena Raj,Male,1963-02-09,Bhubaneswar,Odisha,Business Owner,3086000.0,866,0.0,2.8,2017-10-14
179,Wahab Varkey,Female,1981-11-14,Guwahati,Assam,Salaried,437000.0,792,0.0,15.0,2024-01-01
180,Gagan Gill,Male,1960-12-02,Surat,Gujarat,Salaried,654000.0,830,0.0,15.7,2017-06-13
181,Chameli Vasa,Male,1996-01-01,Ahmedabad,Gujarat,Business Owner,371000.0,765,0.0,17.4,2018-01-09
182,Anirudh Dhaliwal,Female,1992-02-29,Mumbai,Maharashtra,Business Owner,1530000.0,532,0.0,6.9,2024-08-03
183,Naveen Pillay,Male,1970-05-14,Delhi,Delhi,Business Owner,319000.0,506,1300.0,7.0,2011-03-19
184,Balveer Nazareth,Female,1970-12-30,Kolkata,West Bengal,Self-Employed,680000.0,842,0.0,17.0,2011-10-17
185,Baljiwan Chada,Female,1982-08-18,Kochi,Kerala,Salaried,506000.0,854,0.0,17.0,2010-08-10
186,David Chopra,Female,1995-03-04,Kochi,Kerala,Salaried,263000.0,538,0.0,8.6,2022-11-13
187,Abdul Raman,Male,1999-10-06,Pune,Maharashtra,Self-Employed,428000.0,736,2800.0,1.2,2017-08-04
188,Agastya Mall,Female,1968-12-02,Jaipur,Rajasthan,Retired,180000.0,691,0.0,2.9,2024-12-22
189,Harini Bumb,Female,1967-03-22,Nagpur,Maharashtra,Salaried,661000.0,734,0.0,3.2,2009-03-22
190,Andrew Lall,Female,1978-06-14,Jaipur,Rajasthan,Salaried,320000.0,651,0.0,16.9,2015-11-27
191,Jeet Kapadia,Male,1985-04-08,Guwahati,Assam,Salaried,304000.0,694,4900.0,4.6,2010-10-02
192,Zashil Krishnan,Female,1991-10-28,Guwahati,Assam,Salaried,314000.0,747,0.0,6.8,2014-06-15
193,Kashish Lala,Female,1968-12-10,Hyderabad,Telangana,Salaried,385000.0,624,0.0,14.9,2020-08-12
194,Aarnav Vohra,Female,1989-01-02,Hyderabad,Telangana,Salaried,466000.0,601,0.0,0.9,2016-09-25
195,Ucchal Seth,Female,1963-10-18,Kochi,Kerala,Business Owner,495000.0,586,0.0,4.1,2018-08-07
196,Daksh Kakar,Male,1985-03-14,Nagpur,Maharashtra,Business Owner,2886000.0,703,17100.0,15.7,2009-03-07
197,Warhi Pant,Female,1980-06-29,Bengaluru,Karnataka,Salaried,538000.0,689,0.0,5.4,2010-05-28
198,Eiravati Reddy,Female,1961-08-11,Bengaluru,Karnataka,Retired,271000.0,758,0.0,2.4,2018-11-30
199,Watika Rajan,Female,1968-04-14,Bengaluru,Karnataka,Business Owner,1240000.0,649,6500.0,4.7,2014-11-30
200,Radhika Bawa,Male,1995-08-26,Chennai,Tamil Nadu,Salaried,432000.0,481,0.0,7.9,2024-09-07
201,Darsh Dass,Female,1970-04-16,Lucknow,Uttar Pradesh,Salaried,904000.0,856,0.0,9.5,2017-08-19
202,Tarak Ramanathan,Female,2000-12-08,Bhopal,Madhya Pradesh,Salaried,437000.0,754,3800.0,13.2,2008-12-14
203,Aachal Yogi,Female,1983-05-27,Bhopal,Madhya Pradesh,Business Owner,6295000.0,806,41600.0,1.0,2015-08-10
204,Yamini Varkey,Male,2002-03-23,Mumbai,Maharashtra,Retired,202000.0,547,0.0,13.0,2024-08-09
205,Madhavi Pall,Male,1967-11-17,Lucknow,Uttar Pradesh,Salaried,536000.0,628,0.0,2.7,2014-06-16
206,Laksh Gara,Male,1993-04-02,Raipur,Chhattisgarh,Self-Employed,300000.0,597,0.0,17.9,2024-12-19
207,Jagdish Bera,Male,2000-06-21,Ahmedabad,Gujarat,Salaried,1045000.0,783,0.0,14.4,2019-09-09
208,Theodore Toor,Male,1997-01-16,Nagpur,Maharashtra,Salaried,487000.0,840,0.0,8.4,2025-06-07
209,Charvi Luthra,Male,1987-01-17,Bhubaneswar,Odisha,Salaried,506000.0,618,0.0,13.3,2020-12-14
210,Xalak Kothari,Male,1974-02-10,Bhubaneswar,Odisha,Salaried,970000.0,751,0.0,3.2,2024-07-22
211,Vansha Sahota,Male,1967-06-13,Lucknow,Uttar Pradesh,Business Owner,353000.0,681,0.0,8.1,2020-02-09
212,Zayan Brahmbhatt,Male,1976-11-22,Guwahati,Assam,Self-Employed,193000.0,787,0.0,10.8,2013-11-10
213,Harrison Anand,Male,1978-05-05,Bhubaneswar,Odisha,Self-Employed,1391000.0,567,0.0,15.8,2015-10-16
214,Daksha Bhandari,Female,1961-06-11,Pune,Maharashtra,Retired,371000.0,638,0.0,17.4,2023-09-01
215,Alexander Bir,Male,2004-05-19,Guwahati,Assam,Self-Employed,330000.0,643,0.0,3.2,2017-12-06
216,Harinakshi Devan,Male,1988-12-13,Jaipur,Rajasthan,Salaried,500000.0,621,4100.0,2.5,2021-05-25
217,Ubika Ahluwalia,Female,1991-06-21,Kochi,Kerala,Salaried,478000.0,677,0.0,17.6,2018-12-29
218,Ayush Raja,Female,1975-10-23,Nagpur,Maharashtra,Business Owner,386000.0,645,4800.0,15.0,2019-08-25
219,Tristan Ravi,Female,1995-04-20,Chennai,Tamil Nadu,Salaried,613000.0,607,4400.0,16.6,2016-12-09
220,Darika Dugar,Male,1985-03-14,Chennai,Tamil Nadu,Salaried,686000.0,541,0.0,7.5,2024-05-26
221,Raagini Tella,Male,1985-02-23,Delhi,Delhi,Salaried,624000.0,637,5900.0,7.1,2009-05-18
222,Lohit Mall,Female,1967-04-07,Chennai,Tamil Nadu,Salaried,347000.0,528,0.0,14.1,2014-01-02
223,Abdul Taneja,Male,2003-09-14,Lucknow,Uttar Pradesh,Self-Employed,455000.0,724,0.0,13.7,2022-09-21
224,Sarthak Ben,Female,1982-06-30,Lucknow,Uttar Pradesh,Salaried,325000.0,760,0.0,9.0,2008-09-11
225,Sathvik Bassi,Male,1976-08-25,Kolkata,West Bengal,Salaried,475000.0,584,1200.0,6.5,2025-01-18
